reg_id,cand_id,vote_count
4,53,1179
4,54,75493
4,55,1743
4,56,7543
4,57,1463
4,58,7203
4,59,1651
4,60,131479
4,61,53974
4,62,2743
4,63,71051
4,64,98864
4,65,20104
5,0,30985
5,1,397046
5,2,17227
5,3,44232
5,4,1085063
5,5,26660
5,6,1188353
5,7,788947
5,8,839211
5,9,33185
5,10,195180
5,11,39700
5,12,208766
5,13,206419
5,14,159944
5,15,35321
5,16,28273
5,17,191932
5,18,22121
5,19,214014
5,20,1218422
5,21,758045
5,22,891367
5,23,234256
5,24,1024610
5,25,861695
5,26,781313
5,27,581009
5,28,961140
5,29,222586
5,30,167704
5,31,84469
5,32,299499
5,33,43401
5,34,439886
5,35,934485
5,36,545865
5,37,325238
5,38,192981
5,39,38284
5,40,27258
5,41,30612
5,42,325777
5,43,176567
5,44,13894
5,45,29058
5,46,38888
5,47,21160
5,48,60941
5,49,30997
5,50,942339
5,51,630066
5,52,869695
5,53,29327
5,54,94578
5,55,14031
5,56,125518
5,57,30437
5,58,133975
5,59,13657
5,60,533339
5,61,468481
5,62,41382
5,63,81218
5,64,173775
5,65,514702
6,0,17799
6,1,202040
6,2,11341
6,3,29847
6,4,662950
6,5,16752
6,6,764459
6,7,544489
6,8,498602
6,9,22893
6,10,101318
6,11,24410
6,12,112962
6,13,110433
6,14,94088
6,15,21061
6,16,19641
6,17,98326
6,18,12661
6,19,115868
6,20,699682
6,21,542227
6,22,549903
6,23,106068
6,24,581624
6,25,563603
6,26,574852
6,27,373434
6,28,700631
6,29,151186
6,30,97504
6,31,49403
6,32,61516
6,33,28173
6,34,278481
6,35,497697
6,36,400538
6,37,173787
6,38,105193
6,39,23493
6,40,19854
6,41,23666
6,42,238286
6,43,94161
6,44,7899
6,45,16294
6,46,21943
6,47,13860
6,48,30574
6,49,18225
6,50,633204
6,51,342351
6,52,567202
6,53,19776
6,54,52301
6,55,8334
6,56,67802
6,57,19199
6,58,87590
6,59,7554
6,60,345766
6,61,244255
6,62,25060
6,63,48234
6,64,106627
6,65,322571
7,0,57077
7,1,1000538
7,2,35517
7,3,85886
7,4,3099489
7,5,49038
7,6,2140378
7,7,1568797
7,8,2140276
7,9,79388
7,10,616113
7,11,104184
7,12,668756
7,13,703146
7,14,518960
7,15,96733
7,16,63596
7,17,611726
7,18,57827
7,19,661154
7,20,1521149
7,21,1358240
7,22,1891062
7,23,352056
7,24,2390782
7,25,2094944
7,26,1387477
7,27,1716250
7,28,2509247
7,29,611257
7,30,597767
7,31,314644
7,32,384823
7,33,120701
7,34,851972
7,35,1650051
7,36,1166318
7,37,957715
7,38,619070
7,39,75139
7,40,45190
7,41,68111
7,42,735707
7,43,579056
7,44,27573
7,45,72553
7,46,76968
7,47,42595
7,48,141359
7,49,59234
7,50,1989496
7,51,1469537
7,52,1695051
7,53,54461
7,54,315766
7,55,31115
7,56,365838
7,57,75504
7,58,380063
7,59,27479
7,60,1666814
7,61,1310746
7,62,98011
7,63,252539
7,64,554572
7,65,1048768
8,0,78125
8,1,1367241
8,2,44485
8,3,116975
8,4,3780801
8,5,55541
8,6,2582326
8,7,1898661
8,8,2791812
8,9,111445
8,10,921977
8,11,145808
8,12,1011697
8,13,1088674
8,14,768557
8,15,120095
8,16,85292
8,17,928011
8,18,85180
8,19,926744
8,20,1739692
8,21,1525905
8,22,2266563
8,23,559539
8,24,2547747
8,25,1806703
8,26,1790921
8,27,2075126
8,28,3000508
8,29,772814
8,30,875780
8,31,499405
8,32,579759
8,33,143433
8,34,1334522
8,35,1784714
8,36,1430998
8,37,1411293
8,38,941296
8,39,94860
8,40,48316
8,41,76436
8,42,1042757
8,43,879532
8,44,32321
8,45,100489
8,46,92822
8,47,54242
8,48,190672
8,49,75544
8,50,2647467
8,51,2334609
8,52,1916735
8,53,70512
8,54,494748
8,55,41361
8,56,501924
8,57,99710
8,58,531469
8,59,39139
8,60,1746538
8,61,2019225
8,62,111564
8,63,363136
8,64,775247
8,65,1116799
9,0,14920
9,1,205669
9,2,9487
9,3,23951
9,4,585176
9,5,14734
9,6,679207
9,7,462836
9,8,455123
9,9,20267
9,10,70648
9,11,17136
9,12,78534
9,13,83065
9,14,81259
9,15,18668
9,16,14965
9,17,69372
