cty_id,cand_id,vote_count
17,59,47
17,60,1537
17,61,330
17,62,111
17,63,617
17,64,1294
17,65,494
18,0,6
18,1,34
18,2,11
18,3,9
18,4,105
18,5,10
18,6,64
18,7,48
18,8,76
18,9,4
18,10,16
18,11,6
18,12,12
18,13,11
18,14,13
18,15,13
18,16,8
18,17,8
18,18,46
18,19,13
18,20,89
18,21,68
18,22,62
18,23,19
18,24,41
18,25,55
18,26,43
18,27,241
18,28,274
18,29,130
18,30,156
18,31,125
18,32,145
18,33,17
18,34,20
18,35,49
18,36,23
18,37,16
18,38,17
18,39,7
18,40,4
18,41,11
18,42,36
18,43,19
18,44,71
18,45,6
18,46,8
18,47,6
18,48,7
18,49,8
18,50,43
18,51,36
18,52,49
18,53,17
18,54,79
18,55,27
18,56,6
18,57,8
18,58,13
18,59,3
18,60,160
18,61,17
18,62,4
18,63,54
18,64,160
18,65,38
19,0,15
19,1,86
19,2,28
19,3,34
19,4,220
19,5,23
19,6,117
19,7,105
19,8,203
19,9,31
19,10,49
19,11,24
19,12,38
19,13,41
19,14,38
19,15,21
19,16,32
19,17,45
19,18,67
19,19,51
19,20,185
19,21,169
19,22,128
19,23,37
19,24,116
19,25,179
19,26,142
19,27,754
19,28,888
19,29,403
19,30,438
19,31,333
19,32,346
19,33,23
19,34,46
19,35,102
19,36,110
19,37,59
19,38,45
19,39,31
19,40,19
19,41,24
19,42,61
19,43,54
19,44,178
19,45,21
19,46,25
19,47,30
19,48,24
19,49,31
19,50,96
19,51,65
19,52,120
19,53,44
19,54,201
19,55,74
19,56,47
19,57,19
19,58,37
19,59,10
19,60,371
19,61,76
19,62,31
19,63,208
19,64,332
19,65,114
20,0,37
20,1,213
20,2,22
20,3,14
20,4,486
20,5,24
20,6,409
20,7,167
20,8,335
20,9,59
20,10,24
20,11,10
20,12,17
20,13,3
20,14,22
20,15,44
20,16,96
20,17,45
20,18,449
20,19,40
20,20,1028
20,21,717
20,22,231
20,23,241
20,24,111
20,25,237
20,26,1504
20,27,5010
20,28,4828
20,29,2127
20,30,2215
20,31,1572
20,32,2202
20,33,87
20,34,552
20,35,1776
20,36,235
20,37,42
20,38,43
20,39,37
20,40,37
20,41,14
20,42,114
20,43,46
20,44,570
20,45,14
20,46,34
20,47,37
20,48,51
